PID,Cond,Ch,HbO_beta,HbR_beta
CD,left,S5-D3,-9.25960043190281e-06,-4.66666823296094e-06
CD,left,S3-D4,0.000124153807013088,-3.90778850447087e-06
CD,left,S4-D4,1.44033461984325e-05,-6.11765403436479e-07
CD,left,S5-D4,1.34283551562503e-05,6.11539762156686e-06
CD,left,S8-D5,-7.82827675067608e-05,7.59547599399782e-05
CD,left,S6-D5,-9.29877310227949e-05,3.05715808295477e-05
CD,left,S7-D5,-1.10114283143059e-20,-6.12828337338486e-20
CD,left,S9-D6,-1.13575888210271e-05,-5.94858811492401e-06
CD,left,S8-D6,6.35178354311032e-05,2.26316016041969e-05
CD,left,S6-D6,-2.63044769227777e-05,-1.73231568601643e-05
CD,left,S10-D7,-1.07818442194167e-05,2.49340782496285e-07
CD,left,S9-D7,-1.89901217326852e-05,-1.19360854286233e-05
CD,left,S8-D7,3.33425070006501e-05,9.56226703718465e-06
CD,left,S10-D8,8.33581884068482e-06,-1.09129525223872e-06
CD,left,S9-D8,-4.17514886032614e-05,-3.30831419347544e-05
CD,right,S1-D1,4.56350928651578e-05,1.11581438207242e-05
CD,right,S3-D1,0.000135426034621056,-6.84275915091301e-06
CD,right,S2-D1,-2.05490193003893e-19,-2.37804499941645e-20
CD,right,S1-D2,3.70301990154757e-06,2.40722327637791e-05
CD,right,S3-D2,0.000125212392787601,-3.39196561775806e-05
CD,right,S4-D2,1.76343077039511e-05,5.59999698911781e-06
CD,right,S4-D3,-4.96178619780168e-07,3.8682186645563e-07
CD,right,S5-D3,-1.35303982903234e-05,-5.50888661013081e-06
CD,right,S3-D4,9.88194779131887e-05,-1.38965915792932e-05
CD,right,S4-D4,5.05004753484297e-07,-7.7508675618101e-07
CD,right,S5-D4,7.33071499770111e-07,1.63838732242801e-06
CD,right,S8-D5,-0.00010553152702936,7.37960912817729e-05
CD,right,S6-D5,-0.000104677920561728,2.55126951237855e-05
CD,right,S7-D5,3.3881317890172e-22,-4.99749438880037e-20
CD,right,S9-D6,-1.07986265166764e-05,-6.10520568988663e-06
CD,right,S8-D6,3.53764475567962e-05,2.25151187565318e-05
CD,right,S6-D6,-4.33639056824425e-05,-1.29483788448414e-05
CD,right,S10-D7,-1.28644032181057e-05,2.83925372417234e-07
CD,right,S9-D7,-2.39946809814728e-05,-1.36401248394542e-05
CD,right,S8-D7,9.61905901323261e-06,5.16451378682925e-06
CD,right,S10-D8,1.27377899385024e-05,2.12928592728657e-06
CD,right,S9-D8,-1.99975549936047e-05,-3.22871716301146e-05
CI,left,S1-D1,-7.2571619107274e-05,7.72813236351512e-05
CI,left,S3-D1,-0.000186909710525194,4.90398794290411e-05
CI,left,S2-D1,1.15738581912828e-18,8.38350859544944e-20
CI,left,S1-D2,-5.90355923338805e-05,7.97481090065713e-05
CI,left,S3-D2,-0.000366240784451834,4.94096103298584e-05
CI,left,S4-D2,-1.89631365023425e-06,3.26687718218731e-05
CI,left,S4-D3,9.80026914608183e-05,-3.86000391678902e-06
CI,left,S5-D3,0.000113600001920787,8.99215706880875e-06
CI,left,S3-D4,-0.000289349642627437,1.61299474458191e-05
CI,left,S4-D4,-2.29717307369534e-05,1.78587727368492e-05
CI,left,S5-D4,1.00040383018772e-06,1.10094986594008e-05
CI,left,S8-D5,-0.000355548008488902,3.93882556658024e-05
CI,left,S6-D5,-7.57167634526238e-05,0.000136916672763864
CI,left,S7-D5,-4.35408022113212e-19,1.0842021724855e-19
CI,left,S9-D6,-9.63165088112989e-05,9.31210788511081e-05
CI,left,S8-D6,-0.000240577773257663,0.000102021132392085
CI,left,S6-D6,-0.000168694943763902,9.18019000736169e-05
CI,left,S10-D7,-3.55274251891885e-05,-1.34829568128621e-05
CI,left,S9-D7,2.2278309586573e-06,5.93060084309838e-05
CI,left,S8-D7,-0.000292216922135768,0.000130852064623304
CI,left,S10-D8,-2.53912104588934e-06,-3.18022841437476e-07
CI,left,S9-D8,1.51297887940749e-05,-2.2196338903295e-05
CI,right,S1-D1,-6.30549087928106e-05,9.51603361878782e-05
CI,right,S3-D1,-0.000196339916925748,5.80521197573393e-05
CI,right,S2-D1,1.17839223622018e-18,9.40735967044307e-20
CI,right,S1-D2,-5.60976011223006e-05,9.62378048637302e-05
CI,right,S3-D2,-0.000354492729073469,7.10743602358765e-05
CI,right,S4-D2,6.69944518696436e-06,2.40725320493372e-05
CI,right,S4-D3,8.54234146196929e-05,-4.4720846135854e-06
CI,right,S5-D3,0.000119769041544202,1.60872543106648e-05
CI,right,S3-D4,-0.000294585959615713,3.55341813115476e-05
CI,right,S4-D4,-2.88428620189741e-05,1.72382394765592e-05
CI,right,S5-D4,-3.46062409205135e-06,1.49442767631079e-05
CI,right,S8-D5,-0.000340353669561061,4.4449012005285e-05
CI,right,S6-D5,-5.74909987071828e-05,0.000127784678403106
CI,right,S7-D5,-4.51545323247387e-19,1.17059953310544e-19
CI,right,S9-D6,-8.29449418058406e-05,7.24170865054161e-05
CI,right,S8-D6,-0.000225912970431023,9.32853142150084e-05
CI,right,S6-D6,-0.000137828692561151,8.12753423436183e-05
CI,right,S10-D7,-4.2529947938474e-05,-1.45230271848054e-05
CI,right,S9-D7,4.4515715974385e-06,3.22635582167914e-05
CI,right,S8-D7,-0.000271468918064943,0.00012977975305158
CI,right,S10-D8,-1.40596956269875e-05,-9.0637163431945e-07
CI,right,S9-D8,1.88590076966965e-05,-4.43604666592041e-05
EM,left,S1-D1,-3.04735178149167e-05,-1.76527385774125e-05
EM,left,S3-D1,1.9538466763192e-05,-1.41324723353034e-05
EM,left,S2-D1,-8.09763497575111e-20,-3.82011859211689e-20
EM,left,S1-D2,-5.09013237748309e-05,-5.97296134029723e-06
EM,left,S3-D2,-2.01313876363167e-05,-2.12368051355609e-05
EM,left,S4-D2,-4.35323862749701e-06,-5.88115217384456e-08
EM,left,S4-D3,-2.14559400925115e-05,1.38172201251956e-05
EM,left,S5-D3,1.09091613391077e-05,-7.8064941225929e-06
EM,left,S3-D4,-8.51805808364202e-07,-2.89518187252586e-06
EM,left,S4-D4,-1.2561905360398e-05,7.26672088791391e-06
EM,left,S5-D4,3.25924411860272e-05,-2.16880069524871e-06
EM,left,S8-D5,0,0
EM,left,S6-D5,9.24552955699529e-06,-3.45292284144885e-05
EM,left,S7-D5,-6.29795466063174e-19,-9.65604324980101e-20
EM,left,S9-D6,-3.29048256158791e-05,-2.32805086494806e-06
EM,left,S8-D6,-4.16454457219735e-05,-6.68548820099664e-05
EM,left,S6-D6,-7.7383133933721e-05,-2.33979717949596e-05
EM,left,S10-D7,-3.87775687916869e-06,-1.59891689553699e-06
EM,left,S9-D7,-4.59421161613314e-06,-2.47940660176962e-07
EM,left,S8-D7,-1.38441590678215e-05,-7.89916702774983e-06
EM,left,S10-D8,1.42158243792686e-05,-2.5531202660184e-06
EM,left,S9-D8,-1.65236097001633e-05,1.15386878083492e-05
EM,right,S1-D1,3.66419062592392e-07,8.08682472404439e-06
EM,right,S3-D1,2.84290710543892e-05,9.89147725087618e-06
EM,right,S2-D1,-1.80518602927652e-19,-3.63377134372095e-20
EM,right,S1-D2,-1.49299093911775e-05,1.64478601283137e-05
EM,right,S3-D2,3.12055013852265e-05,2.80134032862821e-05
EM,right,S4-D2,1.8817747963725e-05,1.18333860562344e-05
EM,right,S4-D3,-5.94309855571401e-06,8.80387494440258e-06
EM,right,S5-D3,-7.77116127417578e-06,-3.1152950106646e-07
EM,right,S3-D4,2.32282918732852e-05,2.27343542924424e-05
EM,right,S4-D4,-9.66923105303119e-06,9.99890476069212e-06
EM,right,S5-D4,2.4172546402365e-05,8.73999815081043e-06
EM,right,S8-D5,0,0
EM,right,S6-D5,2.79675878940021e-05,2.21180514059571e-05
EM,right,S7-D5,-5.73032347196315e-19,-4.3910717381255e-20
EM,right,S9-D6,8.30956982572961e-06,-9.01886309234022e-07
EM,right,S8-D6,-5.05467608180489e-06,-1.56568339459586e-06
EM,right,S6-D6,-4.79260529447347e-05,1.49388919849269e-05
EM,right,S10-D7,2.00018520034639e-05,5.76878082386799e-06
EM,right,S9-D7,3.71806783313571e-05,-4.66078271076785e-06
EM,right,S8-D7,-8.45200215281164e-07,2.22429184680377e-05
EM,right,S10-D8,2.35408276657412e-05,-5.0828944791251e-06
EM,right,S9-D8,-6.35611330744615e-06,4.52567331268323e-06
HS,left,S1-D1,-4.41828495821042e-05,4.4928332625335e-05
HS,left,S3-D1,0,0
HS,left,S2-D1,-3.3616620094155e-20,-2.48471821121129e-20
HS,left,S1-D2,-1.25241140349758e-05,1.25017436046034e-05
HS,left,S3-D2,4.77008497794273e-06,1.41765002551771e-05
HS,left,S4-D2,2.32072966787431e-05,-3.49957819674209e-06
HS,left,S4-D3,1.94560480283871e-06,-1.22545181747942e-05
HS,left,S5-D3,1.76698874896096e-05,1.33821208668948e-05
HS,left,S3-D4,2.91033922331603e-06,4.27198405746841e-06
HS,left,S4-D4,7.92022354861898e-06,-7.11947671293285e-06
HS,left,S5-D4,1.21683913954699e-05,1.63819248336189e-05
HS,left,S8-D5,-1.75907411848241e-05,1.90125147002471e-05
HS,left,S6-D5,-1.36256265410215e-05,2.26710191274012e-05
HS,left,S7-D5,-5.85299766552721e-20,1.84653182501437e-20
HS,left,S9-D6,-8.87439450438491e-06,-7.6355559115311e-06
HS,left,S8-D6,-2.448206079853e-05,1.94359740180528e-05
HS,left,S6-D6,-2.39410596904615e-05,1.24833687176781e-05
HS,left,S10-D7,5.70272453744628e-05,1.13465405366148e-05
HS,left,S9-D7,2.17546810286769e-05,-6.13534003110808e-06
HS,left,S8-D7,-1.66845368986896e-05,1.99207681939519e-05
HS,left,S10-D8,5.84094686715225e-05,1.71246737457293e-05
HS,left,S9-D8,3.12396864239455e-05,-1.48763430740946e-05
HS,right,S1-D1,-5.74096252516869e-05,4.29080839748393e-05
HS,right,S3-D1,0,0
HS,right,S2-D1,-2.7422691667358e-20,-2.74968070502427e-20
HS,right,S1-D2,-1.53565911699621e-05,1.49030037916947e-05
HS,right,S3-D2,-1.57077363129887e-05,1.47544580286508e-05
HS,right,S4-D2,2.39882659079074e-05,-2.39747085527165e-07
HS,right,S4-D3,1.28488480996214e-06,-1.42157693867599e-05
HS,right,S5-D3,1.23383200343267e-05,1.60734519386425e-05
HS,right,S3-D4,-8.10931739128153e-06,4.77742648595293e-06
HS,right,S4-D4,4.65922034541715e-06,-6.95525646713623e-06
HS,right,S5-D4,7.75265925680428e-06,1.77046227740647e-05
HS,right,S8-D5,-2.79668565653026e-05,2.11853549459906e-05
HS,right,S6-D5,-2.11778934570755e-05,2.41151253071718e-05
HS,right,S7-D5,-6.28498446862691e-20,3.150962563786e-20
HS,right,S9-D6,-5.61737030203842e-06,-9.1467336455825e-06
HS,right,S8-D6,-3.69115036735741e-05,2.23956415757647e-05
HS,right,S6-D6,-2.91494110312603e-05,1.23820331524555e-05
HS,right,S10-D7,5.83899259143063e-05,1.16404266141727e-05
HS,right,S9-D7,2.7320385127852e-05,-1.01289862228995e-05
HS,right,S8-D7,-1.91916997966656e-05,2.13505711688924e-05
HS,right,S10-D8,5.31257728010204e-05,1.63289823763483e-05
HS,right,S9-D8,3.06437925712364e-05,-1.75040503367836e-05
JP,left,S1-D1,-0.000143318866302552,4.6479505200421e-05
JP,left,S3-D1,-0.000127694467413578,5.28719652871316e-05
JP,left,S2-D1,4.81114714040443e-20,-9.46644021851406e-19
JP,left,S1-D2,-0.000119371452560316,5.89768634903657e-05
JP,left,S3-D2,-0.00016152569351086,9.87920771509018e-05
JP,left,S4-D2,-0.000120649454723761,8.51184962038142e-05
JP,left,S4-D3,-7.4243028846614e-05,2.59155132996681e-05
JP,left,S5-D3,-0.000117723573809654,3.69274013848498e-06
JP,left,S3-D4,-0.000110476262895206,2.94923939695507e-05
JP,left,S4-D4,-0.000102298009499331,8.13503541677043e-05
JP,left,S5-D4,-0.000133737438446792,4.47299638582049e-05
JP,left,S8-D5,-3.73794083140236e-05,1.8241965750561e-05
JP,left,S6-D5,-0.000215792623549555,6.36003326834798e-05
JP,left,S7-D5,-4.28513968015951e-19,5.41889328005939e-19
JP,left,S9-D6,-0.000112119944322774,6.4835647997343e-05
JP,left,S8-D6,-0.000171240201775712,9.21651776600516e-05
JP,left,S6-D6,-0.00016739553981302,4.69542603747452e-05
JP,left,S10-D7,-0.000194401159645996,4.71631165326568e-05
JP,left,S9-D7,-0.000133498133675836,4.87004357236244e-05
JP,left,S8-D7,-0.000160100128054316,5.62674753810464e-05
JP,left,S10-D8,-0.000175828465342317,1.27676002108718e-05
JP,left,S9-D8,-0.000136581827861463,5.9391783662457e-06
JP,right,S1-D1,-0.000139915346477759,3.04063398745807e-05
JP,right,S3-D1,-0.000120433689744428,2.56792682175787e-05
JP,right,S2-D1,7.72494047895922e-20,-6.47133171702285e-19
JP,right,S1-D2,-9.76116883068022e-05,4.46428756355499e-05
JP,right,S3-D2,-0.000146313439563193,5.1208364570412e-05
JP,right,S4-D2,-0.00011010627413942,5.30155391824993e-05
JP,right,S4-D3,-7.05789379790194e-05,1.39386641053277e-05
JP,right,S5-D3,-0.000115489003535636,-1.20581806891081e-06
JP,right,S3-D4,-9.67430973307161e-05,1.65124029571154e-05
JP,right,S4-D4,-0.000100794296215424,5.98179760873187e-05
JP,right,S5-D4,-0.000128469649487209,2.74531384431419e-05
JP,right,S8-D5,-4.2873064977677e-05,5.93217062708641e-06
JP,right,S6-D5,-0.000226713127034762,2.63368360875464e-05
JP,right,S7-D5,-4.13945001323177e-19,4.85773395250341e-19
JP,right,S9-D6,-0.000128738979568459,4.22260935199543e-05
JP,right,S8-D6,-0.000181413700361022,5.01213689669629e-05
JP,right,S6-D6,-0.000164823503174332,2.571104746627e-05
JP,right,S10-D7,-0.000191133754148514,3.79938962290523e-05
JP,right,S9-D7,-0.00014257834043639,2.81783220900881e-05
JP,right,S8-D7,-0.00015612796241179,3.62077587244688e-05
JP,right,S10-D8,-0.000153668178193524,5.76328662922732e-06
JP,right,S9-D8,-0.000121146201649367,-4.38542041456769e-06
KB,left,S1-D1,-4.06528007429443e-05,8.52746372716888e-06
KB,left,S3-D1,-9.18943467761827e-05,-1.61436896892675e-05
KB,left,S2-D1,8.13998662311383e-20,5.75558887659297e-20
KB,left,S1-D2,-2.54904254990566e-05,6.45404313408247e-07
KB,left,S3-D2,-0.000103515503763991,-2.59781370126313e-06
KB,left,S4-D2,-1.61969998378938e-05,-6.90086198337781e-06
KB,left,S4-D3,8.70413593992933e-06,7.41987724769691e-07
KB,left,S5-D3,1.35117496051397e-05,1.04554394961017e-05
KB,left,S3-D4,-3.4128369347568e-05,7.37481287207574e-08
KB,left,S4-D4,-4.81900406070073e-06,-8.78077470066766e-06
KB,left,S5-D4,5.24552724025046e-06,1.75390280030592e-05
KB,left,S8-D5,-1.94260906434985e-05,-2.46103065133482e-05
KB,left,S6-D5,-9.52118862090197e-05,7.08243103982957e-06
KB,left,S7-D5,-1.43492675220799e-19,1.49331908600933e-19
KB,left,S9-D6,-3.18990266614215e-05,3.89574822448363e-06
KB,left,S8-D6,-8.87904817730795e-05,-3.36713212695072e-05
KB,left,S6-D6,-2.28984302037506e-05,9.90013152201367e-06
KB,left,S10-D7,-1.52779742590931e-05,7.75517447919942e-07
KB,left,S9-D7,-1.79444203376032e-05,7.22484299371945e-06
KB,left,S8-D7,-2.07572236667231e-05,5.01725820174372e-06
KB,left,S10-D8,1.66233199758171e-06,5.89827199112069e-06
KB,left,S9-D8,1.98125710740763e-05,1.32467142525711e-05
KB,right,S1-D1,-9.48347427075264e-06,8.3930522932898e-06
KB,right,S3-D1,-5.03594205565301e-05,-8.0992161860833e-06
KB,right,S2-D1,8.89913990209049e-20,5.4347751478204e-20
KB,right,S1-D2,-3.38154953785688e-06,2.38075017660092e-06
KB,right,S3-D2,-5.54322583973631e-05,8.88295315225795e-07
KB,right,S4-D2,-1.12809013828718e-05,-2.29315514313984e-07
KB,right,S4-D3,4.03660253256856e-06,-1.55106799852978e-06
KB,right,S5-D3,5.38006358233885e-06,1.02964556563112e-05
