PID,Cond,Ch,HbO_beta,HbR_beta
CD,left,S4-D2,1.06094199437424e-05,-5.60633764507328e-07
CD,left,S4-D3,2.58506311848145e-06,1.9859785652477e-06
CD,left,S5-D3,2.26217966190422e-06,-7.72253836381806e-07
CD,left,S3-D4,1.05716529929014e-05,-2.32950968227586e-06
CD,left,S4-D4,1.18254015079047e-05,-1.89748237053937e-06
CD,left,S5-D4,8.4068267592989e-06,4.59276442978495e-07
CD,left,S8-D5,-9.53750866291986e-06,8.56008543860187e-06
CD,left,S6-D5,-1.70028863935583e-05,1.35960900538644e-05
CD,left,S7-D5,-5.41482416007489e-21,-2.58483239357213e-21
CD,left,S9-D6,1.63660076911057e-05,-3.80590460709566e-06
CD,left,S8-D6,9.13285643715525e-06,5.22590282464979e-06
CD,left,S6-D6,5.32305093567514e-06,3.9351920833382e-06
CD,left,S10-D7,7.39050007208806e-07,-2.91587964705834e-06
CD,left,S9-D7,6.94985649984285e-06,-2.35172516305117e-06
CD,left,S8-D7,9.28433252653745e-06,-2.68790430126469e-07
CD,left,S10-D8,-1.55841750422692e-06,-5.22388171000562e-06
CD,left,S9-D8,-8.3152755685454e-06,1.16863518716475e-07
CD,right,S1-D1,-4.04372126133535e-06,1.16676078655576e-06
CD,right,S3-D1,-9.09467217698536e-07,2.34079392485564e-06
CD,right,S2-D1,6.17029661430179e-22,-1.81589815731834e-21
CD,right,S1-D2,-2.03441411951174e-05,-2.1781193264053e-07
CD,right,S3-D2,-1.0570246976037e-05,-7.87249149323508e-06
CD,right,S4-D2,6.35535480392215e-06,6.4418602038678e-07
CD,right,S4-D3,1.15536140907958e-06,2.22416601203351e-06
CD,right,S5-D3,-5.75252056739523e-06,-3.17333728959515e-06
CD,right,S3-D4,5.65439409104029e-06,-7.74654750410976e-06
CD,right,S4-D4,3.70183079950198e-06,-1.17088664011117e-06
CD,right,S5-D4,-5.29994093556875e-06,-1.481943528757e-06
CD,right,S8-D5,-2.78068745288931e-05,1.81249084880555e-05
